N°,Institucion,Departamento,Provincia,Distrito,Representante,Sector
168,Asociación Familia Sana,Cajamarca,Cajamarca,Cajamarca,Castañeda Gamarra  Rosa Amalia,Educacion/Mujer Y Desarrollo Social/Salud/Otros/
,,,,,Rodriguez Villa  Jose Hildebrando,
169,Asociación Fundacion Contra el Hambre,Lima,Lima,Jesus Maria,Gamonal Garay  Noemi Pamela,Mujer y Desarrollo Social/
170,Asociación Hermano Thomas Helm,Lima,Callao,Callao,Valencia Malaga  Luis Santiago,Mujer y Poblaciones Vulnerables/
171,Asociación Hijas de San Pablo                                                                                           ,Lima,Lima,Lima,Capalbo  Maria Filomena,Educación/
172,Asociación Hogar Belén,Moquegua,Mariscal Nieto,Moquegua,Jose Mendoza  Alejandro,Mujer y Desarrollo Social/Trabajo y Promoción Social/Otros/
173,Asociación Humanitaria Jose Agustin Tamayo Rodriguez,Lima,Lima,Santiago De Surco,Tamayo Mendoza De Valdivia  Maria Encarnacion,Mujer y Poblaciones Vulnerables/Salud/
174,Asociación Humanitaria Menesterosos,Lima,Lima,Jesus Maria,Patiño Berdoni  Sara Lusmila,Mujer y Poblaciones Vulnerables/
175,Asociación Humanitaria Vida Feliz,Tacna,Tacna,Tacna,Bujanda Giraldo  Juan Jose,Educacion/Mujer y Desarrollo Social/
176,Asociación I.B.E. La Molina,Lima,Lima,La Molina,Bardales Inga  Miguel Angel,Educación/Mujer y Desarrollo Social/
177,Asociación Iglesia Adventista del Septimo día Peruana del Norte,Lima,Lima,Miraflores,Heidinger Zevallos  Edward,Educación/Mujer Y Desarrollo Social/Salud/
